TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;12.483.839/0001-07;2022-06-01;3846371.54;212.212547000000;3844867.76;0.00;0.00;1
FI;12.483.948/0001-24;2022-06-01;78672322.81;382.472952000000;77633626.20;0.00;0.00;397
FI;12.483.967/0001-50;2022-06-01;400210840.67;215.193688000000;400334846.48;6300000.00;100000.00;2
FI;12.483.978/0001-30;2022-06-01;363241824.96;250.269726000000;363278996.43;0.00;2032213.57;4450
FI;12.518.192/0001-01;2022-06-01;212992256.74;235.156552900000;213479028.18;711905.10;0.00;208
FI;12.518.210/0001-55;2022-06-01;82856229.90;245.133087900000;82858566.57;0.00;0.00;62
FI;12.518.279/0001-89;2022-06-01;92482931.41;258.424462800000;92513216.56;0.00;0.00;35
FI;12.518.282/0001-00;2022-06-01;62036779.67;90.553254100000;66427578.60;0.00;0.00;2
FI;12.518.290/0001-49;2022-06-01;21992502.44;254.389739449600;22061723.48;0.00;0.00;1
FI;12.533.094/0001-43;2022-06-01;26254847.31;240.514227100000;26221036.57;5634.71;0.00;1
FI;12.533.136/0001-46;2022-06-01;15512039.52;253.482673400000;15225889.93;0.00;100014.02;1
FI;12.533.165/0001-08;2022-06-01;50284249.79;249.227687510000;50235723.51;16057.18;0.00;1
FI;12.547.115/0001-80;2022-06-01;5968464.17;131.766232400000;5968555.03;0.00;0.00;1
FI;12.547.239/0001-65;2022-06-01;105910215.82;3.790170900000;105920162.45;3932.09;0.00;1
FI;12.547.250/0001-25;2022-06-01;1320912132.06;4.243814700000;1320928064.18;20185.28;0.00;1
FI;12.547.262/0001-50;2022-06-01;174380391.77;4.218739400000;174395717.66;5695.23;0.00;1
FI;12.547.272/0001-95;2022-06-01;190946371.62;4.022424900000;190958192.31;0.00;72.74;1
FI;12.553.578/0001-54;2022-06-01;5405590.61;1.099993560000;11175153.39;0.00;0.00;19
FI;12.553.606/0001-33;2022-06-01;126293884.53;1.029216000000;126108879.15;0.00;0.00;1
FI;12.553.685/0001-82;2022-06-01;302992734.49;3.008037500000;302357985.85;0.00;0.00;1
FI;12.558.695/0001-00;2022-06-01;362722511.03;4.617227000000;362731608.77;0.00;0.00;1
FI;12.558.761/0001-42;2022-06-01;642171664.29;4.791575042000;642185417.39;0.00;16888.23;1
FI;12.558.769/0001-09;2022-06-01;241004175.62;5.273864998000;241017876.09;0.00;4645.90;1
FI;12.558.782/0001-68;2022-06-01;182283683.62;5.172444045000;182302129.69;0.00;2730.71;1
FI;12.558.791/0001-59;2022-06-01;900886110.14;5.065135543000;900903868.92;36576.42;0.00;1
FI;12.558.802/0001-09;2022-06-01;2550244.23;408.832233300000;2548507.92;0.00;0.00;1
FI;12.565.049/0001-70;2022-06-01;11990556656.11;2.776748795000;11989158428.86;0.00;0.00;1
FI;12.565.062/0001-20;2022-06-01;313827561.31;2.634503980000;313492971.01;0.00;0.00;20
FI;12.565.122/0001-04;2022-06-01;24584580.69;2.643865400000;24278485.71;0.00;0.00;1
FI;12.565.143/0001-20;2022-06-01;3078265.05;0.281899850000;2916665.24;0.00;0.00;1
FI;12.565.159/0001-32;2022-06-01;689629609.73;3.662398230000;689252347.28;0.00;135049.79;723
FI;12.565.167/0001-89;2022-06-01;87462174.75;4.971094830000;93584753.58;0.00;0.00;3
FI;12.565.182/0001-27;2022-06-01;237519660.02;1075.395437700000;237215300.34;100000.00;150000.00;216
FI;12.580.046/0001-06;2022-06-01;94853178.65;305.351048000000;94185454.66;0.00;0.00;1
FI;12.580.469/0001-26;2022-06-01;705327357.98;4.429105000000;705346025.43;0.00;247.81;1
FI;12.580.504/0001-07;2022-06-01;444854819.96;4.438607400000;444872412.78;5978.18;0.00;1
FI;12.580.589/0001-23;2022-06-01;637454260.22;4.618929300000;637447533.85;0.00;1946.82;1
FI;12.580.631/0001-06;2022-06-01;339716677.69;4.447702500000;339726772.48;0.00;0.00;1
FI;12.580.638/0001-28;2022-06-01;341715515.13;4.444459000000;341736810.38;0.00;426.41;1
FI;12.580.648/0001-63;2022-06-01;135037220.12;4.329716500000;135047149.64;0.00;440.27;1
FI;12.580.664/0001-56;2022-06-01;113947201.36;4.371714200000;113957088.30;0.00;1770.62;1
FI;12.580.807/0001-20;2022-06-01;346723016.73;4.488049300000;346744299.89;197.19;0.00;1
FI;12.581.000/0001-01;2022-06-01;94363082.80;4.026170500000;94373291.32;97.74;0.00;1
FI;12.581.016/0001-14;2022-06-01;57070732.64;4.507915300000;57082294.58;0.00;0.00;1
FI;12.581.026/0001-50;2022-06-01;126864195.82;4.123646900000;126873984.97;74149.66;0.00;1
FI;12.581.042/0001-42;2022-06-01;34621731.10;3.785739900000;34627263.62;0.00;29.67;1
FI;12.581.050/0001-99;2022-06-01;18506262.51;3.690952700000;18510666.52;0.00;0.00;1
FI;12.581.073/0001-01;2022-06-01;104457843.44;4.155580800000;104467824.47;1480.81;0.00;1
FI;12.581.086/0001-72;2022-06-01;1353365109.14;4.671226100000;1353374843.37;7298.42;0.00;1
FI;12.581.097/0001-52;2022-06-01;245462569.88;4.478053400000;245469938.84;4287.41;0.00;1
FI;12.581.135/0001-77;2022-06-01;24607567.64;305.781192300000;24600454.61;0.00;0.00;1
FI;12.586.070/0001-52;2022-06-01;1483225419.83;2.619928200000;1483261921.81;0.00;2000000.00;1
FI;12.586.090/0001-23;2022-06-01;513834159.25;2.597005912000;513822802.57;0.00;0.00;1
FI;12.586.238/0001-20;2022-06-01;17080517728.77;1.811911000000;16863590167.42;10583679.99;29955382.86;100
FI;12.607.277/0001-66;2022-06-01;76786372.34;0.555336700000;76806696.82;0.00;0.00;2
FI;12.610.561/0001-91;2022-06-01;144285904.40;3.332561200000;144211385.35;0.00;0.00;1
FI;12.610.590/0001-53;2022-06-01;43845323.33;286.991789160600;45317706.63;0.00;0.00;2
FI;12.610.613/0001-20;2022-06-01;50717718.67;222.899802270000;50694310.34;4378.50;0.00;1
FI;12.610.623/0001-65;2022-06-01;4886069.64;226.957761150000;4882728.53;342.00;0.00;1
FI;12.610.629/0001-32;2022-06-01;11888780.70;143.088732000000;11868519.68;0.00;0.00;9
FI;12.610.716/0001-90;2022-06-01;35507967.80;243.295898300000;35247390.20;0.00;0.00;1
FI;12.610.727/0001-70;2022-06-01;5295028.96;23.242134100000;5294192.80;0.00;0.00;1
FI;12.610.779/0001-46;2022-06-01;248269958.20;3.760876200000;248267961.11;0.00;0.00;1
FI;12.613.516/0001-90;2022-06-01;13982418.22;2.531853500000;6286983.40;0.00;0.00;1
FI;12.630.565/0001-31;2022-06-01;15629621.21;1.341370500000;15629126.60;0.00;0.00;2
FI;12.636.386/0001-01;2022-06-01;522443329.46;230.771534300000;522446446.23;2891.42;0.00;1
FI;12.645.952/0001-41;2022-06-01;444074358.89;7110.057284310000;444095691.86;0.00;0.00;26
FI;12.660.458/0001-56;2022-06-01;11583946.25;0.931020140000;11291607.77;0.00;0.00;1
FI;12.660.462/0001-14;2022-06-01;15616584.41;0.933930690000;15265964.80;0.00;0.00;1
FI;12.660.468/0001-91;2022-06-01;3078265.05;0.281698970000;2914586.82;0.00;0.00;1
FI;12.665.456/0001-50;2022-06-01;990424132.56;3.566065360000;990383014.64;0.00;0.00;1
FI;12.665.523/0001-36;2022-06-01;68117644.59;3.100723000000;68150328.24;0.00;0.00;2
FI;12.665.559/0001-10;2022-06-01;19318604.29;2.927898800000;19339347.43;0.00;0.00;1
FI;12.674.251/0001-30;2022-06-01;94680114.83;0.918624080000;93239612.28;0.00;0.00;1
FI;12.674.257/0001-08;2022-06-01;12453731.05;0.932799410000;12160474.95;0.00;0.00;1
FI;12.681.350/0001-40;2022-06-01;1507170855.67;2.610932176000;1507147944.51;62932.35;1129874.91;1
FI;12.682.783/0001-10;2022-06-01;215337323.33;3.234059600000;215117427.67;233382.47;1960462.26;5549
FI;12.682.785/0001-09;2022-06-01;13941416.25;2.944815200000;13948434.83;0.00;0.00;1
FI;12.682.789/0001-97;2022-06-01;48840647.34;2.058487720000;48836893.64;0.00;0.00;6
FI;12.698.541/0001-14;2022-06-01;76413118.64;2287.360927200000;73757947.54;0.00;2000000.00;1
FI;12.698.632/0001-50;2022-06-01;40547100.11;1625.352222100000;40511166.47;0.00;0.00;2
FI;12.704.442/0001-06;2022-06-01;25747362.50;2.571630400000;25742221.19;0.00;0.00;1
FI;12.704.457/0001-66;2022-06-01;1720562.65;2.505523033000;1714298.75;0.00;0.00;3
FI;12.704.683/0001-47;2022-06-01;11122502.85;0.447569900000;11131154.30;0.00;0.00;1
FI;12.740.154/0001-07;2022-06-01;14157013.38;1.534720890000;14007014.99;0.00;0.00;1
FI;12.764.822/0001-28;2022-06-01;2863411.79;2.143695160000;2864916.67;0.00;62379.88;1
FI;12.765.576/0001-29;2022-06-01;34675965.33;567.082430600000;33231903.77;0.00;0.00;7
FI;12.765.592/0001-11;2022-06-01;23866412.12;146.977004744300;23866762.86;0.00;0.00;2
FI;12.765.674/0001-66;2022-06-01;23224116.07;265.679687426600;23505331.94;0.00;0.00;2
FI;12.765.687/0001-35;2022-06-01;16653550.29;3.378712674100;16500710.97;0.00;0.00;1
FI;12.765.720/0001-27;2022-06-01;24097916.90;2.200551130000;24096105.95;0.00;0.00;1
FI;12.765.738/0001-29;2022-06-01;99656003.79;3.177046573000;99838293.29;0.00;0.00;1
FI;12.766.395/0001-17;2022-06-01;2804092.19;0.975222600000;2800115.01;0.00;0.00;28
FI;12.766.541/0001-04;2022-06-01;206146252.93;3.237278500000;207506094.32;0.00;0.00;174
FI;12.766.824/0001-56;2022-06-01;928474905.11;3.596580731800;992372332.26;0.00;0.00;617
FI;12.776.254/0001-85;2022-06-01;7798570.80;0.729460000000;7804488.25;0.00;0.00;1
FI;12.796.168/0001-34;2022-06-01;574828938.08;23.009563000000;574926501.25;0.00;0.00;2
FI;12.796.193/0001-18;2022-06-01;250350846.75;1.559176900000;249725055.72;21600.00;403426.02;1
FI;12.796.232/0001-87;2022-06-01;1061977076.35;16.140771000000;1054411887.75;6740440.00;1800019.69;12018
FI;12.798.221/0001-36;2022-06-01;18414202947.87;5.651112900000;18122824110.11;18323093.82;0.00;38
FI;12.799.234/0001-20;2022-06-01;58832159.99;2.053002840000;61017029.05;0.00;0.00;3
FI;12.807.182/0001-96;2022-06-01;65448165.86;3.161482320000;65263274.49;0.00;104470.66;1
FI;12.808.980/0001-32;2022-06-01;18896662159.40;12.782647700000;18202184989.92;0.00;0.00;34
FI;12.809.201/0001-13;2022-06-01;3130779644.80;8.429053000000;2954292055.48;0.00;0.00;174
FI;12.809.230/0001-85;2022-06-01;350980142.03;21.821008000000;350987494.86;0.00;0.00;1
FI;12.813.107/0001-38;2022-06-01;26540416.91;0.102096330000;26534389.76;0.00;0.00;1
FI;12.813.130/0001-22;2022-06-01;10598249.66;2.290350648200;10571366.27;0.00;0.00;4
FI;12.813.140/0001-68;2022-06-01;21620154.48;2.473694000000;21677743.41;0.00;0.00;1
FI;12.813.148/0001-24;2022-06-01;22208718.38;2.566617103100;22220138.95;0.00;0.00;1
FI;12.813.177/0001-96;2022-06-01;39410125.30;2.118941945800;39435178.83;0.00;0.00;1
FI;12.813.445/0001-70;2022-06-01;28433516.30;2.926496110500;28110291.27;270000.00;0.00;22
FI;12.813.620/0001-29;2022-06-01;547168295.96;1.564147000000;547106825.82;74934.22;471913.97;1
FI;12.822.810/0001-02;2022-06-01;25496365.23;3.168253300000;25391969.75;0.00;111968.72;7
FI;12.823.607/0001-50;2022-06-01;136948963.44;4.015681100000;138048987.96;0.00;0.00;2
FI;12.823.610/0001-74;2022-06-01;239888955.25;2.498826970000;239889005.76;1367692.73;1535861.27;6664
FI;12.823.624/0001-98;2022-06-01;354306032.03;4.015657450000;353744568.13;5000000.00;0.00;260
FI;12.823.627/0001-21;2022-06-01;830730315.77;2.891424300000;829276951.78;1044504.86;889329.11;1
FI;12.831.360/0001-14;2022-06-01;1014713250.02;4.321384200000;976752520.05;0.00;0.00;345
FI;12.834.698/0001-20;2022-06-01;206568652.22;7.048358880000;206568536.10;0.00;0.00;1
FI;12.839.769/0001-87;2022-06-01;23396083.78;25.000264500000;23618399.01;0.00;0.00;504
FI;12.845.796/0001-62;2022-06-01;66553440.55;2.322430150000;66218153.46;500.00;78734.33;3926
FI;12.845.801/0001-37;2022-06-01;106203842.03;0.274047500000;82694756.23;0.00;0.00;31
FI;12.866.269/0001-34;2022-06-01;18255558.65;1.224688510000;18371835.30;0.00;0.00;1
FI;12.866.378/0001-51;2022-06-01;25199959.09;2.185283997000;25205433.75;0.00;0.00;3
FI;12.877.241/0001-00;2022-06-01;806494558.53;0.545666000000;799918278.47;0.00;0.00;6
FI;12.884.352/0001-36;2022-06-01;649634162.73;8.368148200000;614049730.43;0.00;0.00;84
FI;12.884.370/0001-18;2022-06-01;184047254.30;3.002895300000;184095910.76;0.00;0.00;1
FI;12.884.380/0001-53;2022-06-01;373980222.08;8.402834300000;348851852.77;0.00;0.00;25
FI;12.884.390/0001-99;2022-06-01;219257936.45;4.470054400000;213252141.11;0.00;0.00;155
FI;12.894.801/0001-27;2022-06-01;20271520.19;1.688350100000;20260200.40;0.00;0.00;5
FI;12.894.830/0001-99;2022-06-01;8141113.09;0.798252000000;8177097.23;0.00;0.00;2
FI;12.903.600/0001-49;2022-06-01;152281923.25;2.443359800000;152305790.75;0.00;0.00;1
FI;12.903.620/0001-10;2022-06-01;19214366.29;2.723968000000;19059659.47;0.00;0.00;2
FI;12.904.571/0001-30;2022-06-01;12648542.37;1.212170700000;12647792.70;0.00;0.00;1
FI;12.904.781/0001-28;2022-06-01;23451233.49;1.914078700000;23442089.58;0.00;0.00;4
FI;12.907.100/0001-85;2022-06-01;34601455.35;2.360096090000;34565558.49;0.00;0.00;7
FI;12.914.220/0001-00;2022-06-01;199230085.50;0.711161340000;199223430.80;0.00;0.00;2
